recipeName,batchYield,unit,ingredientName,qty,ingredientUnit,gramsMl,uom,vendor
GREEK BOWL,1.0,GRM,MIX BELL PEPPER,40.0,GM,40.0,GRM,AD VEGETABLES
GREEK BOWL,1.0,GRM,CUCUMBER,30.0,GM,30.0,GRM,AD VEGETABLES
GREEK BOWL,1.0,GRM,CHERRY TOMATO,50.0,GM,50.0,GRM,AD VEGETABLES
GREEK BOWL,1.0,GRM,BEETROOT,40.0,GM,40.0,GRM,AD VEGETABLES
GREEK BOWL,1.0,GRM,ONION,30.0,GM,30.0,GRM,AD VEGETABLES
GREEK BOWL,1.0,GRM,Organic Quinoa Seeds-500Gms,35.0,GM,35.0,GRM,FACTORY
GREEK BOWL,1.0,GRM,LETTUCE,30.0,GM,30.0,GRM,AD VEGETABLES
GREEK BOWL,1.0,GRM,sirocco pitted black olive 3 kg,5.0,GM,5.0,GRM,SAI FOODS
GREEK BOWL,1.0,GRM,arla cheese danish white FETA 500g,50.0,GM,50.0,GRM,ONLINE
GREEK BOWL,1.0,GRM,PARSLEY,5.0,GM,5.0,GRM,AD VEGETABLES
GREEK BOWL,1.0,GRM,BEETROOT YOGHURT 188g yield,50.0,GRM,50.0,GRM,PRE PREP
GREEK BOWL,1.0,GRM,Honey Mustard  dressing 210g yield,50.0,GRM,50.0,GRM,PRE PREP
GREEK BOWL,1.0,GRM,Tomato Salsa 530g,50.0,GRM,50.0,GRM,PRE PREP
Green humus 150g yield,150.0,GRM,SPINACH,50.0,GM,50.0,GRM,AD VEGETABLES
Green humus 150g yield,150.0,GRM,GARLIC,5.0,GM,5.0,GRM,AD VEGETABLES
Green humus 150g yield,150.0,GRM,Natural Himalaya Pink Salt-500Gms Pouch,1.0,GM,1.0,GRM,FACTORY
Green humus 150g yield,150.0,GRM,Organic Black Pepper Whole-100Gms,1.0,GM,1.0,GRM,FACTORY
Green humus 150g yield,150.0,GRM,Classic Hummus 730 g yield,100.0,GRM,100.0,GRM,PRE PREP
HIGH PROTEIN PASTA SAUCE (Output 3100g),3100.0,GRM,TOMATO,2400.0,GM,2400.0,GRM,AD VEGETABLES
HIGH PROTEIN PASTA SAUCE (Output 3100g),3100.0,GRM,Organic Cinnamon Bark-50Gms,5.0,GM,5.0,GRM,FACTORY
HIGH PROTEIN PASTA SAUCE (Output 3100g),3100.0,GRM,Organic Cinnamon Powder-50Gms,2.0,GM,2.0,GRM,FACTORY
HIGH PROTEIN PASTA SAUCE (Output 3100g),3100.0,GRM,whole Farm CLOVE,1.0,GM,1.0,GRM,ONLINE
HIGH PROTEIN PASTA SAUCE (Output 3100g),3100.0,GRM,Whole Farm BAY LEAF,4.0,PC,2.0,PC,SAI FOODS
HIGH PROTEIN PASTA SAUCE (Output 3100g),3100.0,GRM,Golden crown TOMATO PUREE 825g,1.0,TIN,825.0,GRM,SAI FOODS
HIGH PROTEIN PASTA SAUCE (Output 3100g),3100.0,GRM,Spice chilli (kashmiri) Powder 100g,2.0,TSP,4.0,GRM,SAI FOODS
HIGH PROTEIN PASTA SAUCE (Output 3100g),3100.0,GRM,Natural Himalaya Pink Salt-500Gms Pouch,2.0,TSP,10.0,GRM,FACTORY
HIGH PROTEIN PASTA SAUCE (Output 3100g),3100.0,GRM,Organic Sugar-1kg,3.0,TSP,12.0,GRM,FACTORY
HIGH PROTEIN PASTA SAUCE (Output 3100g),3100.0,GRM,Amul butter salted ip 500g,250.0,GM,250.0,GRM,SAI FOODS
HIGH PROTEIN PASTA SAUCE (Output 3100g),3100.0,GRM,Biyas TOFU,200.0,GM,200.0,GRM,DMART
HIGH PROTEIN PASTA SAUCE (Output 3100g),3100.0,GRM,DF CASHEW BROKEN,350.0,GRM,350.0,GRM,SAI FOODS
Honey Mustard  dressing 210g yield,210.0,GRM,DIJON MUSTARD,50.0,GM,50.0,GRM,ONLINE
Honey Mustard  dressing 210g yield,210.0,GRM,VEEBA EGGLESS MAYO PROFESSIONAL MAYONNAISE 1KG,100.0,GM,100.0,GRM,SAI FOODS
Honey Mustard  dressing 210g yield,210.0,GRM,Natural Himalaya Pink Salt-500Gms Pouch,5.0,GM,5.0,GRM,FACTORY
Honey Mustard  dressing 210g yield,210.0,GRM,Organic Black Pepper Whole-100Gms,2.0,GM,2.0,GRM,FACTORY
Honey Mustard  dressing 210g yield,210.0,GRM,Organic Honey-250Gms,50.0,GM,50.0,GRM,FACTORY
Honey Mustard  dressing 210g yield,210.0,GRM,LEMON JUICE,5.0,GM,5.0,GRM,AD VEGETABLES
house  SALAD,1.0,PCS,ICE BERG LETTUCE,6.0,GM,6.0,GRM,AD VEGETABLES
house  SALAD,1.0,PCS,LOLLO ROSSO RED LETTUCE,2.0,GM,2.0,GRM,AD VEGETABLES
house  SALAD,1.0,PCS,sirocco pitted black olive 3 kg,4.0,PC,5.0,PC,SAI FOODS
house  SALAD,1.0,PCS,Organic Extra Virgin Olive Oil-1ltr,1.0,GM,1.0,GRM,FACTORY
house  SALAD,1.0,PCS,LEMON JUICE,1.0,GM,1.0,GRM,AD VEGETABLES
house  SALAD,1.0,PCS,ENGLISH CUCUMBER,1.0,slice,20.0,SLICE,AD VEGETABLES
house  SALAD,1.0,PCS,Natural Himalaya Pink Salt-500Gms Pouch,1.0,Pinch,0.5,GRM,FACTORY
house  SALAD,1.0,PCS,Organic Black Pepper Whole-100Gms,1.0,Pinch,0.5,GRM,FACTORY
house  SALAD,1.0,PCS,CHERRY TOMATO,1.0,PC,40.0,PC,AD VEGETABLES
LEEK AND ASPARAGUS Puree 1600g yield,1600.0,GRM,ASPARAGUS,350.0,GM,350.0,GRM,AD VEGETABLES
LEEK AND ASPARAGUS Puree 1600g yield,1600.0,GRM,LEEKS,400.0,GM,400.0,GRM,AD VEGETABLES
LEEK AND ASPARAGUS Puree 1600g yield,1600.0,GRM,POTATO,200.0,GM,200.0,GRM,AD VEGETABLES
LEEK AND ASPARAGUS Puree 1600g yield,1600.0,GRM,ONION,50.0,TBSP,50.0,GRM,AD VEGETABLES
LEEK AND ASPARAGUS Puree 1600g yield,1600.0,GRM,GARLIC,50.0,DROPS,50.0,GRM,AD VEGETABLES
LEEK AND ASPARAGUS Puree 1600g yield,1600.0,GRM,Vegetable Stock 9200 yield,1200.0,GRM,1200.0,GRM,PRE PREP
Lemon  Dressing 280g yield,280.0,GRM,Organic Sugar-1kg,10.0,GM,10.0,GRM,FACTORY
Lemon  Dressing 280g yield,280.0,GRM,LEMON JUICE,50.0,GM,50.0,GRM,AD VEGETABLES
Lemon  Dressing 280g yield,280.0,GRM,Organic Extra Virgin Olive Oil-1ltr,200.0,GM,200.0,GRM,FACTORY
Lemon  Dressing 280g yield,280.0,GRM,Natural Himalaya Pink Salt-500Gms Pouch,10.0,gm,10.0,GRM,FACTORY
Lemon  Dressing 280g yield,280.0,GRM,Organic Black Pepper Whole-100Gms,8.0,gm,8.0,GRM,FACTORY
Lemon  Dressing 280g yield,280.0,GRM,chef special OREGANO 100g,2.0,GM,2.0,GRM,DMART
MAKHANA & YOGHURT MIXTURE 200g yield,200.0,GRM,PROV MAKHANA 1KG,30.0,GM,30.0,GRM,DMART
